id,merged,dsh1,dshpct,beds,bed_days,medicare_days,medicaid_days,days,employees,medicare_disch,medicaid_disch,discharges,status_cat,state_cat,city_cat,county_cat
271318,0.0,,,25.0,9125.0,1355.0,208.0,2297.0,225.009994506836,307.0,66.0,608.0,4,28,747,111
271319,0.0,,,10.0,3660.0,796.0,4.0,908.0,37.1500015258789,108.0,3.0,153.0,1,28,2575,917
271320,0.0,,,25.0,9125.0,1551.0,338.0,2989.0,192.669998168945,298.0,148.0,858.0,3,28,1567,883
271321,0.0,,,25.0,9150.0,676.0,3813.0,7189.0,59.6199989318848,38.0,3.0,59.0,3,28,1185,1676
271322,0.0,,,15.0,5475.0,1477.0,65.0,2397.0,75.620002746582,146.0,2.0,196.0,3,28,2229,1407
271323,0.0,,,16.0,5856.0,1167.0,108.0,1704.0,126.669998168945,191.0,33.0,344.0,1,28,2217,1357
271324,0.0,,,20.0,7320.0,663.0,77.0,1096.0,109.25,81.0,28.0,158.0,3,28,593,1219
271325,0.0,,,25.0,9150.0,2678.0,803.0,4644.0,275.420013427734,381.0,321.0,883.0,3,28,2417,833
271326,0.0,,,10.0,3660.0,973.0,2.0,1240.0,70.6699981689453,107.0,1.0,170.0,3,28,2337,240
271327,0.0,,,25.0,9125.0,1006.0,5.0,3733.0,54.2400016784668,97.0,2.0,162.0,2,28,957,1313
271328,0.0,,,25.0,9125.0,922.0,108.0,1510.0,108.080001831055,150.0,55.0,483.0,2,28,2569,1558
271329,0.0,,,9.0,3294.0,501.0,5.0,590.0,28.3500003814697,51.0,2.0,75.0,3,28,869,917
271330,0.0,,,10.0,8158.0,650.0,,841.0,54.5,93.0,,125.0,2,28,581,1488
271331,0.0,,,25.0,9125.0,475.0,18.0,5321.0,87.9199981689453,47.0,8.0,88.0,3,28,2748,996
271332,0.0,,,25.0,9125.0,1699.0,248.0,3181.0,205.690002441406,303.0,55.0,695.0,3,28,1068,421
271333,0.0,,,25.0,6974.0,463.0,,2407.0,51.6300010681152,25.0,,38.0,3,28,2839,181
271334,0.0,,,25.0,9125.0,374.0,2897.0,7639.0,71.8899993896484,25.0,2.0,32.0,2,28,502,880
271335,0.0,,,25.0,9150.0,2685.0,393.0,4165.0,208.440002441406,364.0,94.0,774.0,3,28,66,427
